INTERSECTION,GO LIVE DATE,APPROACH1,APPROACH2,APPROACH3,latitude,longitude
Ashland-47th,2/28/2009,SB,NB,,41.8085371,-87.6651538
Ashland-63rd,11/27/2007,NB,EB,,41.77886,-87.663766
Ashland-71st,10/11/2004,NB,WB,,41.7650667,-87.6639519
Ashland-87th,3/31/2007,SB,WB,,41.7354827,-87.6632043
Ashland-95th,6/26/2009,SB,EB,,41.7213096,-87.6632123
Ashland-Archer,10/5/2007,NB,WB,,41.8377843,-87.6658975
Ashland-Cortland,2/26/2006,NB,EB,,41.916304,-87.6679325
Ashland-Diversey,12/15/2009,NB,EB,,41.9323312,-87.6685689
Ashland-Division,10/25/2007,NB,EB,,41.9040295,-87.6676792
Ashland-Fullerton,6/8/2009,NB,SB,,41.9250833,-87.6678356
Ashland-Garfield,5/9/2008,WB,SB,,41.793501,-87.6647236
Ashland-Irving Park,8/26/2008,NB,EB,,41.9541834,-87.669256
Ashland-Lawrence,8/27/2008,SB,EB,,41.9689584,-87.669713
Ashland-Madison,3/6/2004,NB,WB,,41.8813134,-87.6669398
Austin-Addison,6/28/2008,EB,NB,,42.269369,-88.363512
Austin-Belmont,5/18/2007,EB,WB,,41.9382062,-87.7932481
Austin-Diversey,6/28/2008,WB,EB,,41.931211,-87.7707338
Austin-Irving Park,6/30/2008,NB,EB,,42.269369,-88.363512
Broadway-Foster,10/18/2007,NB,EB,,41.9765513,-87.6597207
Broadway-Sheridan-Devon,10/18/2007,SB,EB,,41.9981305,-87.6602255
California-31st,3/16/2004,NB,WB,,41.8375297,-87.6951295
California-35th,5/15/2008,NB,SB,,41.8299384,-87.6946646
California-47th,11/30/2008,SB,WB,,41.8082118,-87.6943323
California-Devon,7/31/2008,NB,EB,,41.9975018,-87.6998003
California-Diversey,1/31/2006,NB,WB,EB,41.9319382,-87.6977113
California-Irving Park,8/26/2008,WB,EB,,41.9576776,-87.6983356
California-North,10/31/2009,EB,WB,,34.5259403,-117.0626059
California-Peterson,6/29/2009,NB,EB,,41.9902235,-87.6994867
